Budget groupe name;Esi;Name;Price
La Grange aux Belles, 10ème;74132;2 rue Albert Camus et 20-22 rue Boy Zelenski;20000
La Grange aux Belles, 10ème;214505;59 à 65 rue de la Grange aux Belles;20000
La Grange aux Belles, 10ème;214522;11 à 17 rue Louis Blanc et 180 QUAI de Jemmapes et 10 rue James Franck;20000
La Chapelle Evangile, 18ème;214526;1 à 7 rue de la Croix Moreau / 30 à 36 rue Jean Cottin / 28 rue Tristan Tzara;20000
La Chapelle Evangile, 18ème;214536;1 à 9 rue Tristan Tzara;20000
La Chapelle Evangile, 18ème;214538;18 à 28 rue Tchaïkovski / 10 à 12 rue Tristan Tzara;20000
La Chapelle Evangile, 18ème;214539;15 Tchaïkovski et 22  rue des Fillettes;20000
Porte de Vanves, 14ème;214501;9-11 et 17-19 et 4-6-10-12 Avenue de la porte de Vanves / 1 à11 square de la porte de Vanves / 2 à 4 avenue Marc Sangnier;20000
Les Cardeurs-Mouraud, 20ème;214502;41 à 49 rue St Blaise / 43 rue du Clos / 8-10 square des Cardeurs;20000
Les Cardeurs-Mouraud, 20ème;214509;6-12 allée des Mauves / 39-43 rue Mouraud;20000
Bisson Ramponneau-Piat, 20ème;14086;17 rue Bisson;20000
Bisson Ramponneau-Piat, 20ème;14026;3 à 13 rue Bisson;20000
Bisson Ramponneau-Piat, 20ème;14082;23 rue Bisson;20000
Bisson Ramponneau-Piat, 20ème;14199;21 bis rue Bisson;20000
Bisson Ramponneau-Piat, 20ème;74027;19 rue Bisson;20000
Bisson Ramponneau-Piat, 20ème;14159;27-29 rue Bisson;20000
Bisson Ramponneau-Piat, 20ème;14047;100 bd de Belleville;20000
Bisson Ramponneau-Piat, 20ème;74004;90-92 bd de Belleville;20000
Bisson Ramponneau-Piat, 20ème;15147;60-62 rue Julien Lacroix;20000
Bisson Ramponneau-Piat, 20ème;14158;77-83 rue Julien Lacroix;20000
Bisson Ramponneau-Piat, 20ème;74007;19 rue Jouye Rouve;20000
Bisson Ramponneau-Piat, 20ème;14034;13 à 17 rue Jouye Rouve;20000
Bisson Ramponneau-Piat, 20ème;14077;8 -12 rue Ramponneau;20000
Bisson Ramponneau-Piat, 20ème;14078;30 rue Ramponneau;20000
Bisson Ramponneau-Piat, 20ème;14097;20-24 rue Ramponneau;20000
Bisson Ramponneau-Piat, 20ème;74193;110 bd de Belleville / 1-3 rue Ramponneau;20000
Bisson Ramponneau-Piat, 20ème;14040;108 bd de Belleville;20000
Bisson Ramponneau-Piat, 20ème;14165;47 rue Piat;20000
Bisson Ramponneau-Piat, 20ème;15139;43 rue Piat;20000
Bisson Ramponneau-Piat, 20ème;74006;35 rue Piat;20000
Bisson Ramponneau-Piat, 20ème;74010;7 rue Denoyer;20000
Bisson Ramponneau-Piat, 20ème;74009;16-18 passage de Pékin;20000
Bd Macdonald, 19ème;14223;150-152 bd Macdonald;20000
Bd Macdonald, 19ème;14233;115-119 bd Macdonald / 14 à 20 quai de la Charente;20000
Bd Macdonald, 19ème;214562;194 à 222 bd Macdonald / 59 à 91 rue Emile Bollaert / 5-9 rue Jacques Duchenne;20000
Bd Macdonald, 19ème;49042;8 bis quai de la Charente;20000
Bd Macdonald, 19ème;14243;177-215 bd Macdonald / 90 rue Césaria Evora;20000
Elie Faure-Commandant l Herminier, 20ème;7092;1 à 9 rue Elie Faure / 1 à 13 rue du Cdt L’Herminier;20000
Jean Bouton-place Henri Frenay, 12ème;215522;6 place Henri Frenay / 4 à 16  rue Jean Bouton / 3 à 9 rue Paul Henri Grauwin;20000
Zac Vaugirard, 15ème;214510;25-29 rue A. Gide / 99 & 123-129 rue Falguière / 2 à 12 rue Aristide Maillol;20000
Nationale, 13ème;8005;119 à129 rue Nationale;20000
Nationale, 13ème;8012;135 à 149 rue Nationale;20000
Nationale, 13ème;14850;133 rue Nationale;20000
Nationale, 13ème;15097;119-121 rue Nationale;20000